"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0009141" "BP" "GO:0009141" "nucleoside triphosphate metabolic process" "26/539" "362/18670" 2.05795146966436e-05 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/MOCOS/NDUFB10/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/NME2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:1902600" "BP" "GO:1902600" "proton transmembrane transport" "16/539" "163/18670" 2.07236363461757e-05 0.00502838156489408 0.00472861641535106 "COX7A2/ATP6V1F/ATP5ME/SLC30A5/ATP6V0E1/SLC4A11/ATP5MC1/NDUFA4/COX6B1/ATP6V0B/ATP5MC2/ACTN4/ATP2C1/ATP5F1D/CYB5A/UCP2" 16
"GO:0009126" "BP" "GO:0009126" "purine nucleoside monophosphate metabolic process" "25/539" "341/18670" 2.1003067961474e-05 0.00502838156489408 0.00472861641535106 "NDUFB4/COX7A2/ATP5ME/PFKL/CLPX/NDUFB10/MPP1/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 25
"GO:0006120" "BP" "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" "9/539" "55/18670" 2.53794896687101e-05 0.00573858460842501 0.00539648096113626 "NDUFB4/NDUFB10/NDUFS8/ISCU/NDUFB1/NDUFA4/NDUFA12/NDUFS2/NDUFB6" 9
"GO:0009123" "BP" "GO:0009123" "nucleoside monophosphate metabolic process" "26/539" "375/18670" 3.75481439341597e-05 0.00804320767431737 0.00756371475593378 "NDUFB4/PRPS1/COX7A2/ATP5ME/PFKL/CLPX/NDUFB10/MPP1/DHTKD1/NDUFS8/ISCU/NDUFB1/PSEN1/ATP5MC1/NDUFA4/ALDOA/UQCC2/PRKAG2/COX6B1/NDUFA12/NDUFS2/ATP5MC2/AK4/NDUFB6/ATP5F1D/NUP85" 26
"GO:0019080" "BP" "GO:0019080" "viral gene expression" "17/539" "191/18670" 4.09793927630948e-05 0.00827400773264552 0.00778075575220461 "RPS15/EIF3B/RPL41/RPS5/POLR2C/EIF3L/POLR2G/RPS10/POLR2F/RPS3/RPS3A/HMGA2/EIF3G/POLR2D/EIF3D/NUP85/POLR2I" 17
"GO:0008380" "BP" "GO:0008380" "RNA splicing" "30/539" "469/18670" 4.4118545064977e-05 0.00827400773264552 0.00778075575220461 "SRPK2/GCFC2/MAGOH/RBFOX2/CWF19L1/POLR2C/SF3B5/TRPT1/POLR2G/LSM7/GEMIN5/SF3B4/LSM4/POLR2F/RBM3/SNRPD2/CWC25/CSTF1/DYRK1A/DHX15/SNRPF/DDX39A/POLR2D/ZCCHC8/CELF1/POLR2I/RBM4B/RTRAF/STRAP/THOC6" 30
"GO:0006283" "BP" "GO:0006283" "transcription-coupled nucleotide-excision repair" "10/539" "73/18670" 4.48970363696822e-05 0.00827400773264552 0.00778075575220461 "POLR2C/XRCC1/POLR2G/COPS7B/UBC/CCNH/RFC4/POLR2F/POLR2D/POLR2I" 10
"GO:0045333" "BP" "GO:0045333" "cellular respiration" "17/539" "193/18670" 4.67572918552449e-05 0.00827400773264552 0.00778075575220461 "NDUFB4/ETFA/IDH1/CISD1/NDUFB10/DHTKD1/NDUFS8/ISCU/IMMP2L/NDUFB1/NDUFA4/COX6B1/NDUFA12/NDUFS2/IDH3A/NDUFB6/ATP5F1D" 17
"GO:0044455" "CC" "GO:0044455" "mitochondrial membrane part" "25/552" "229/19717" 7.05939281014999e-09 3.812072117481e-06 3.06154719766505e-06 "NDUFB4/COQ3/MTX2/COX7A2/TOMM6/PET100/ATP5ME/CISD1/NDUFB10/NDUFS8/IMMP2L/NDUFB1/ATP5MC1/NDUFA4/NDUFA12/SCO1/NDUFS2/ROMO1/FUNDC1/ATP5MC2/CHCHD3/NDUFB6/ATP5F1D/FIS1/MPC2" 25
"GO:0005743" "CC" "GO:0005743" "mitochondrial inner membrane" "36/552" "473/19717" 6.34028435674037e-08 1.7118767763199e-05 1.37484060788265e-05 "NDUFB4/COQ3/AURKAIP1/MRPL57/COX7A2/PET100/ATP5ME/CLPX/NDUFB10/NDUFS8/MRPS35/CPS1/IMMP2L/NDUFB1/MRPL12/PSEN1/MRPL1/ATP5MC1/NDUFA4/UQCC2/COX6B1/NDUFA12/SCO1/NDUFS2/ROMO1/RPS3/MRPL44/ATP5MC2/CHCHD3/MRPS28/NDUFB6/ATP5F1D/EFHD1/MPC2/MTCH1/UCP2" 36
"GO:0098798" "CC" "GO:0098798" "mitochondrial protein complex" "23/552" "262/19717" 1.4414014803952e-06 0.000259452266471135 0.000208371021025551 "NDUFB4/MTX2/MRPL57/TOMM6/ATP5ME/CLPX/NDUFB10/NDUFS8/MRPS35/IMMP2L/NDUFB1/MRPL12/ATP5MC1/NDUFA4/NDUFA12/NDUFS2/ROMO1/MRPL44/ATP5MC2/CHCHD3/MRPS28/NDUFB6/ATP5F1D" 23
"GO:0098800" "CC" "GO:0098800" "inner mitochondrial membrane protein complex" "15/552" "135/19717" 5.8878423088214e-06 0.0007516956054819 0.00060370095411022 "NDUFB4/ATP5ME/NDUFB10/NDUFS8/IMMP2L/NDUFB1/ATP5MC1/NDUFA4/NDUFA12/NDUFS2/ROMO1/ATP5MC2/CHCHD3/NDUFB6/ATP5F1D" 15
"GO:0044391" "CC" "GO:0044391" "ribosomal subunit" "18/552" "190/19717" 6.96014449520278e-06 0.0007516956054819 0.00060370095411022 "RPS15/MRPL57/RPL41/RPS5/RPL36AL/MRPS35/RSL24D1/MRPL12/MRPL1/RPS27L/GEMIN5/RPS10/RPL22L1/RBM3/RPS3/RPS3A/MRPL44/MRPS28" 18
"GO:0008250" "CC" "GO:0008250" "oligosaccharyltransferase complex" "5/552" "13/19717" 1.80425631924862e-05 0.00162383068732376 0.00130412912900076 "DAD1/RPN2/DDOST/TMEM258/STT3B" 5
"GO:0005665" "CC" "GO:0005665" "RNA polymerase II, core complex" "5/552" "15/19717" 4.01852022779944e-05 0.00298584325061517 0.00239798717203402 "POLR2C/POLR2G/POLR2F/POLR2D/POLR2I" 5
"GO:0005759" "CC" "GO:0005759" "mitochondrial matrix" "29/552" "469/19717" 6.33356858005462e-05 0.00298584325061517 0.00239798717203402 "ISCA1/COQ3/MRPL57/ETFA/TOP1MT/LONP1/CLPX/DNAJA3/LRRC59/NDUFAF7/DHTKD1/NDUFS8/MRPS35/ISCU/CPS1/MRPL12/UQCC2/NDUFS2/IDH3A/RPS3/MRPL44/CHPF/MRPS28/GFM1/PRDX5/AK4/HADH/ATP5F1D/GLUD1" 29
"GO:0005747" "CC" "GO:0005747" "mitochondrial respiratory chain complex I" "8/552" "50/19717" 6.8351395365881e-05 0.00298584325061517 0.00239798717203402 "NDUFB4/NDUFB10/NDUFS8/NDUFB1/NDUFA4/NDUFA12/NDUFS2/NDUFB6" 8
"GO:0030964" "CC" "GO:0030964" "NADH dehydrogenase complex" "8/552" "50/19717" 6.8351395365881e-05 0.00298584325061517 0.00239798717203402 "NDUFB4/NDUFB10/NDUFS8/NDUFB1/NDUFA4/NDUFA12/NDUFS2/NDUFB6" 8
"GO:0045271" "CC" "GO:0045271" "respiratory chain complex I" "8/552" "50/19717" 6.8351395365881e-05 0.00298584325061517 0.00239798717203402 "NDUFB4/NDUFB10/NDUFS8/NDUFB1/NDUFA4/NDUFA12/NDUFS2/NDUFB6" 8
"GO:0022626" "CC" "GO:0022626" "cytosolic ribosome" "12/552" "112/19717" 7.14141253600822e-05 0.00298584325061517 0.00239798717203402 "RPS15/RPL41/RPS5/RPL36AL/RSL24D1/MRPL1/RPS27L/GEMIN5/RPS10/RPL22L1/RPS3/RPS3A" 12
"GO:0016282" "CC" "GO:0016282" "eukaryotic 43S preinitiation complex" "5/552" "17/19717" 7.90459372710105e-05 0.00298584325061517 0.00239798717203402 "EIF3B/EIF3L/EIF3G/EIF3D/EIF1B" 5
"GO:0016469" "CC" "GO:0016469" "proton-transporting two-sector ATPase complex" "8/552" "51/19717" 7.91038339014158e-05 0.00298584325061517 0.00239798717203402 "ATP6V1F/ATP5ME/ATP6V0E1/ATP5MC1/CCDC115/ATP6V0B/ATP5MC2/ATP5F1D" 8
"GO:0005689" "CC" "GO:0005689" "U12-type spliceosomal complex" "6/552" "27/19717" 8.40024332764066e-05 0.00298584325061517 0.00239798717203402 "SF3B5/LSM7/SF3B4/SNRPD2/DHX15/SNRPF" 6
"GO:0005840" "CC" "GO:0005840" "ribosome" "20/552" "272/19717" 8.84694296478569e-05 0.00298584325061517 0.00239798717203402 "RPS15/AURKAIP1/MRPL57/RPL41/RPS5/RPL36AL/MRPS35/RSL24D1/MRPL12/MRPL1/RPS27L/GEMIN5/RPS10/RPL22L1/RBM3/RPS3/RPS3A/MRPL44/NCK1/MRPS28" 20
"GO:0070993" "CC" "GO:0070993" "translation preinitiation complex" "5/552" "18/19717" 0.00010693705926963 0.00339682423562355 0.00272805377207973 "EIF3B/EIF3L/EIF3G/EIF3D/EIF1B" 5
"GO:1904813" "CC" "GO:1904813" "ficolin-1-rich granule lumen" "12/552" "124/19717" 0.000190194039938329 0.00570582119814988 0.00458245289208139 "PSMA2/MAPK1/PFKL/IDH1/PSMB1/DERA/MIF/PPIA/ALDOA/NME2/CTSH/PNP" 12
"GO:0044445" "CC" "GO:0044445" "cytosolic part" "18/552" "247/19717" 0.000219469291596 0.00623754828746526 0.00500949297160952 "RPS15/RPL41/RPS5/CTBP2/PFKL/RPL36AL/CCT7/HPS1/RSL24D1/MRPL1/RPS27L/GEMIN5/RPS10/RPL22L1/HPS4/RPS3/RPS3A/GET4" 18
"GO:0043531" "MF" "GO:0043531" "ADP binding" "9/548" "38/17697" 1.79199302942804e-06 0.00127410704392334 0.00115442077264207 "CHORDC1/LONP1/MYO9B/PRKAG2/RUVBL1/MYH10/ATP5F1D/GCLC/GLUD1" 9
"GO:0016655" "MF" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" "10/548" "60/17697" 1.39801547940006e-05 0.0049699450292672 0.00450308143890966 "NDUFB4/NDUFB10/NDUFS8/NDUFB1/AKR1C2/NDUFA4/NDUFA12/AKR1C1/NDUFS2/NDUFB6" 10
